UserID,Split,DegreeType,CurrentlyEmployed,ManagedOthers,WorkHistoryTopic,WorkHistoryLevel,SeniorLevel
80,Train,1,1,1,9,2,4
123,Train,4,1,0,0,0,3
162,Train,5,0,0,0,3,6
178,Train,1,0,1,0,3,6
344,Train,1,1,0,0,1,3
395,Train,4,1,0,15,3,6
496,Train,1,0,0,0,3,6
524,Train,4,1,0,0,2,5
644,Train,4,1,0,0,2,2
682,Train,1,1,0,0,2,3
744,Train,1,0,0,17,2,5
767,Test,4,0,0,0,2,5
908,Train,4,1,0,0,3,2
966,Train,3,1,0,14,3,4
1006,Test,1,1,0,0,1,3
1045,Train,1,1,0,0,2,2
1123,Train,0,1,1,0,1,3
1138,Train,1,1,0,0,2,2
1201,Train,1,0,0,10,1,5
1206,Train,4,1,1,12,1,3
1226,Train,0,0,0,14,3,6
1363,Train,4,1,0,0,1,2
1374,Train,1,0,0,0,3,4
1486,Train,1,1,0,0,1,3
1541,Train,1,0,0,7,3,6
1563,Train,0,1,0,0,2,6
1610,Train,4,0,0,0,2,2
1721,Train,1,1,0,6,2,5
1793,Train,4,1,0,0,1,1
1800,Train,1,0,0,0,1,6
1834,Train,1,1,0,0,3,6
1846,Train,3,1,0,0,2,3
2116,Train,1,0,0,15,1,1
2166,Train,1,0,0,0,2,4
2304,Train,5,0,0,0,0,
2337,Train,1,1,1,0,3,3
2385,Train,1,1,0,1,1,6
2432,Train,0,0,0,16,1,4
2481,Train,4,0,1,0,1,5
2571,Train,1,0,0,0,0,
2604,Train,1,0,1,0,1,3
2718,Train,4,0,0,0,1,3
3054,Train,0,0,1,0,1,4
3069,Train,1,1,0,0,1,5
3123,Train,0,1,0,0,3,6
3164,Train,1,0,0,0,2,3
3176,Train,3,0,0,0,2,3
3268,Train,5,1,0,0,2,5
3276,Train,1,1,1,0,1,4
3351,Train,4,0,1,0,1,3
3475,Train,1,1,0,0,1,6
3539,Train,0,1,0,0,2,3
3699,Test,0,1,1,0,2,2
3763,Test,1,1,0,0,2,2
3801,Train,1,1,0,0,1,3
3830,Train,4,1,0,0,3,6
3842,Train,1,1,0,0,3,4
3892,Train,1,0,0,0,0,1
3908,Train,4,1,0,0,1,3
4001,Train,1,0,0,0,2,5
4019,Train,1,0,0,0,1,2
4032,Train,4,1,1,0,0,1
4082,Train,4,1,0,0,1,2
4083,Train,3,1,0,0,2,5
4200,Train,3,1,1,0,1,3
4250,Train,1,1,0,0,1,2
4283,Train,0,1,0,0,2,5
4332,Train,1,1,0,0,1,3
4388,Train,4,0,0,0,0,
4462,Train,4,0,0,0,1,3
4501,Train,4,1,1,0,3,5
4517,Train,5,1,0,0,3,5
4545,Train,4,1,0,0,1,6
4647,Test,0,1,1,0,2,3
4654,Train,4,1,0,0,1,5
4698,Train,1,1,1,0,2,6
4859,Train,4,1,1,0,1,6
4988,Train,5,1,0,0,3,2
4989,Train,1,1,1,0,3,6
5152,Train,4,0,0,0,3,2
5156,Train,0,1,0,0,1,1
5186,Train,4,1,1,0,1,6
5264,Train,0,0,0,0,1,6
5282,Train,5,1,1,0,2,6
5324,Train,0,1,0,0,2,3
5339,Train,1,1,1,12,1,3
5384,Train,4,0,0,0,1,5
5598,Train,4,1,0,0,1,5
5633,Train,4,1,0,0,1,6
5686,Train,1,1,0,0,1,2
5692,Train,1,0,0,0,3,5
5725,Train,4,0,0,0,2,4
5726,Train,4,1,0,0,1,4
5748,Train,4,1,0,0,1,3
5751,Train,4,0,0,0,2,4
5767,Train,4,0,0,0,1,6
5939,Train,1,0,0,1,1,1
5965,Train,4,1,0,0,3,6
6004,Train,4,1,1,0,1,6
6047,Train,4,0,0,0,1,1
6187,Train,4,1,1,0,2,3
6224,Train,1,0,0,0,1,1
6279,Train,4,1,1,0,3,6
6326,Train,1,1,0,10,2,3
6364,Train,3,1,0,0,3,2
6441,Train,1,1,1,0,1,5
6468,Train,1,1,0,0,0,3
6532,Train,1,1,0,0,1,0
6585,Train,3,1,0,0,3,5
6587,Train,6,0,0,0,1,3
6643,Train,4,0,1,0,3,6
6752,Train,4,0,0,0,2,6
6766,Train,1,1,0,0,1,2
6830,Train,0,1,0,0,1,2
6950,Train,0,0,0,0,3,6
7087,Train,4,1,0,0,1,1
7111,Train,3,1,0,0,2,4
7129,Train,2,0,0,10,1,6
7287,Train,1,0,0,0,1,3
7451,Train,4,0,0,0,1,1
7495,Train,4,0,0,0,2,3
7586,Train,4,0,1,0,0,3
7587,Test,3,1,1,0,3,4
7618,Train,1,0,0,0,0,0
7631,Train,0,0,0,0,2,2
7677,Train,4,1,0,0,3,3
7769,Train,0,0,0,0,2,3
7814,Train,3,0,0,14,2,4
7928,Train,4,1,0,0,3,2
7974,Train,5,1,0,0,2,2
7983,Train,3,1,0,0,3,2
8074,Train,1,1,0,0,1,3
8105,Train,3,0,0,6,2,6
8282,Train,1,0,0,0,1,2
8316,Train,4,1,0,0,1,2
8350,Train,4,1,0,0,2,5
8385,Train,3,1,0,0,2,2
8405,Train,4,0,0,0,1,2
8699,Train,0,0,0,0,2,5
8725,Train,3,0,0,0,3,3
8832,Train,1,1,1,11,2,3
8874,Train,2,0,1,15,2,3
9046,Train,1,0,0,0,1,2
9107,Train,5,0,0,0,2,2
9159,Train,1,0,0,0,3,3
