model,hit_5,hit_10,hit_20,benchmark
fm,0.327502691065662,0.4835844994617869,0.8654467168998924,ranking_data_random
fm_match,0.327502691065662,0.4835844994617869,0.8654467168998924,ranking_data_random
fm_side_info,0.31536169059875374,0.45245191005147656,0.5987537252777025,ranking_data_random
fm_extended,0.8986724464914657,0.9095096179897046,0.9268490923868871,ranking_data_random
fm,0.0,0.0,0.0,ranking_knn_lda
fm_match,0.0,0.0,0.0,ranking_knn_lda
fm_side_info,0.0,0.0,0.0,ranking_knn_lda
fm_extended,0.0,0.0,0.0,ranking_knn_lda
fm,0.327502691065662,0.4835844994617869,0.8654467168998924,actual_test_interaction
fm_match,0.327502691065662,0.4835844994617869,0.8654467168998924,actual_test_interaction
fm_side_info,0.31536169059875374,0.45245191005147656,0.5987537252777025,actual_test_interaction
fm_extended,0.8986724464914657,0.9095096179897046,0.9268490923868871,actual_test_interaction
fm,0.327502691065662,0.4835844994617869,0.8654467168998924,all_interaction_data
fm_match,0.327502691065662,0.4835844994617869,0.8654467168998924,all_interaction_data
fm_side_info,0.31536169059875374,0.45245191005147656,0.5987537252777025,all_interaction_data
fm_extended,0.8986724464914657,0.9095096179897046,0.9268490923868871,all_interaction_data
