sample_index,feature_names,feature_importance_scores
0,State,0.6504041950345791
0,City,-0.21099889466611926
0,work_matrix_7,-0.10007808280336217
0,work_matrix_28,-0.0670998910596198
0,work_matrix_34,-0.06295277116349574
0,work_matrix_19,-0.0614793818799318
0,work_matrix_17,0.057313340557885915
0,work_matrix_44,0.057191286750941574
0,work_matrix_21,0.054906270291692205
0,work_matrix_27,-0.0484899666193106
0,work_matrix_25,0.047057070651864166
0,work_matrix_39,0.043097197207856826
0,job_matrix_21,0.04010425662660319
0,work_matrix_20,0.03965415671052355
0,work_matrix_11,-0.03769154314918011
0,work_matrix_2,0.03547213865121758
0,job_matrix_19,0.03150129723767901
0,work_matrix_8,0.030910552021727305
0,job_matrix_3,-0.02972861366944621
0,work_matrix_32,0.027510534417887197
1,State,-0.6444782788816948
1,City,-0.21852158658796783
1,work_matrix_18,-0.08295272345751502
1,job_matrix_21,0.06795916314006499
1,work_matrix_37,0.05936404587774032
1,work_matrix_31,-0.0593190409419802
1,work_matrix_30,-0.056433700739453
1,work_matrix_23,-0.05505877904027219
1,work_matrix_47,0.054369619181297825
1,work_matrix_34,-0.05396243718810506
1,work_matrix_49,-0.049553662684590695
1,work_matrix_28,0.04882231988983855
1,work_matrix_19,0.047545333542002514
1,work_matrix_48,0.04559764766647344
1,job_matrix_14,0.04158549624337385
1,job_matrix_19,0.033981138834005976
1,job_matrix_80,0.03366600102844583
1,work_matrix_27,-0.03322739894423707
1,work_matrix_32,-0.03209686338169135
1,work_matrix_33,0.03186846483470546
2,State,-0.6189641245365297
2,City,-0.19609764757166098
2,work_matrix_7,0.08243780490889466
2,work_matrix_8,-0.06790005470770952
2,work_matrix_21,0.06721025155292859
2,work_matrix_47,0.053180923520147604
2,work_matrix_22,-0.049976680924367474
2,work_matrix_34,0.04745739517593996
2,work_matrix_29,-0.045302543495175346
2,work_matrix_15,-0.04419805775943093
2,work_matrix_24,-0.04416599252406266
2,work_matrix_12,-0.04286420411210137
2,work_matrix_16,-0.03853883253314642
2,work_matrix_37,-0.037610970843697314
2,work_matrix_31,-0.03759718402993878
2,job_matrix_43,0.03748543160352193
2,job_matrix_21,0.03720504268043386
2,job_matrix_72,-0.03574792833355678
2,work_matrix_33,-0.03195556222945862
2,work_matrix_46,0.030492226112024016
3,State,-0.6573634554335455
3,City,-0.1860278273980829
3,work_matrix_10,0.0875115334106482
3,work_matrix_11,0.07615317240803826
3,work_matrix_34,-0.06931903788583543
3,work_matrix_16,0.06236590353698943
3,work_matrix_20,0.0585526767465704
3,work_matrix_28,0.054550029319590125
3,work_matrix_31,-0.052813478926716825
3,work_matrix_41,-0.04791097063171731
3,work_matrix_33,-0.047199079724547725
3,work_matrix_39,0.045561663441714265
3,work_matrix_25,-0.03972904260578761
3,job_matrix_7,-0.03589313003793642
3,work_matrix_0,-0.03384995364853762
3,work_matrix_46,0.03171749766615222
3,job_matrix_5,-0.031497893191192575
3,job_matrix_19,-0.03133527783732021
3,job_matrix_21,0.02879831412926503
3,work_matrix_4,-0.02811517415807091
4,State,0.6293271849620666
4,City,-0.2134688534351961
4,work_matrix_25,-0.1094716455210268
4,work_matrix_41,-0.07756410563466376
4,work_matrix_36,-0.06977962860086649
4,work_matrix_48,0.06636243023559134
4,work_matrix_15,0.06596981150474962
4,work_matrix_20,-0.05468676042215371
4,work_matrix_10,-0.05270418689328374
4,work_matrix_23,0.051941955126131714
4,work_matrix_2,0.05159956415712145
4,work_matrix_19,-0.049404159629702654
4,work_matrix_8,-0.047900100278575074
4,work_matrix_34,0.04767977761372621
4,work_matrix_11,-0.046703927528600774
4,work_matrix_24,0.04537179275537952
4,job_matrix_21,0.04425499246479067
4,work_matrix_45,-0.034906916586763155
4,work_matrix_21,-0.0325918492770812
4,work_matrix_28,-0.02615387293038331
5,State,0.6378659988106439
5,City,-0.22329730933518488
5,work_matrix_29,0.08169866801793903
5,work_matrix_17,0.07513310720417161
5,work_matrix_1,-0.07061739591813673
5,work_matrix_22,0.06065278655901757
5,job_matrix_21,0.05764409588043451
5,work_matrix_11,-0.05553797913760862
5,work_matrix_20,-0.05380259828490862
5,work_matrix_28,0.052649953681635095
5,work_matrix_5,-0.05208137073348561
5,work_matrix_37,-0.050202522467027916
5,job_matrix_15,0.045218377154020245
5,job_matrix_80,-0.04215992651693384
5,work_matrix_4,0.041591205252739114
5,work_matrix_2,0.04041099985897143
5,work_matrix_44,-0.037905780207249995
5,work_matrix_48,-0.037363882116240525
5,work_matrix_12,-0.03534724641647082
5,work_matrix_6,0.03174252132186306
6,State,0.6475193699291357
6,City,-0.21975746053257125
6,work_matrix_8,-0.08368018704731606
6,work_matrix_37,-0.06679292508712789
6,work_matrix_21,-0.06112802775017119
6,work_matrix_29,-0.05885918854900349
6,work_matrix_7,-0.05788066620843392
6,work_matrix_39,0.05277628948606069
6,work_matrix_33,-0.04697595367875884
6,work_matrix_48,-0.044878279889553584
6,work_matrix_42,0.042211574012531464
6,job_matrix_21,0.03918861735023962
6,work_matrix_22,0.03884779472667195
6,work_matrix_45,-0.038483875102113874
6,work_matrix_27,0.037643127261405805
6,job_matrix_57,0.03705586573172464
6,job_matrix_93,0.036559234416960344
6,work_matrix_28,-0.03546338643864875
6,job_matrix_84,0.03467977298003571
6,job_matrix_31,0.031121020906504274
7,State,-0.637618625884853
7,City,-0.19096973453377075
7,work_matrix_19,0.06010281341341258
7,work_matrix_35,-0.05533325981397804
7,work_matrix_48,0.05295854950555658
7,work_matrix_7,0.0493818021353722
7,work_matrix_25,-0.04739051128250438
7,work_matrix_2,-0.045233534005479525
7,work_matrix_37,-0.04228194852935106
7,job_matrix_61,-0.036726360578520474
7,job_matrix_21,0.03468331559807112
7,work_matrix_1,0.033945284865569456
7,job_matrix_7,0.032670708409542816
7,work_matrix_21,-0.03169569372965999
7,work_matrix_11,-0.029004968482678667
7,work_matrix_44,0.02884782118087866
7,work_matrix_34,-0.026691405791197227
7,work_matrix_49,-0.026320019823921542
7,job_matrix_87,-0.024538810105691856
7,work_matrix_4,-0.02111034787549545
8,State,-0.6300458022483647
8,City,-0.21671612649735714
8,work_matrix_16,-0.06609104436249519
8,job_matrix_21,0.058527748657808264
8,work_matrix_17,-0.05700462891960839
8,work_matrix_10,-0.05598616372959882
8,work_matrix_32,0.05270219486067212
8,job_matrix_15,-0.05142848156467333
8,work_matrix_5,-0.049226255837773104
8,work_matrix_24,-0.04638242112791208
8,work_matrix_2,-0.044224251466460154
8,work_matrix_21,-0.042629606672705954
8,work_matrix_7,-0.040164155269232255
8,work_matrix_22,0.035149581308609484
8,work_matrix_35,-0.0339735424903961
8,work_matrix_37,0.0338755420484946
8,job_matrix_57,0.03283427452671881
8,job_matrix_53,-0.03173080624914177
8,job_matrix_87,-0.02852084668244311
8,work_matrix_44,-0.028407817206190254
9,State,-0.6573649915673175
9,City,-0.22638326442210444
9,work_matrix_20,0.08280973772982463
9,work_matrix_29,-0.06799495704903073
9,work_matrix_22,-0.06671417894249795
9,work_matrix_21,0.06514477962360461
9,work_matrix_17,-0.06429139802569964
9,work_matrix_27,0.06096503914475921
9,work_matrix_23,0.052387432471126934
9,job_matrix_57,0.0453383874973306
9,work_matrix_14,-0.043528375294328625
9,job_matrix_34,0.04073404464823074
9,work_matrix_37,-0.03891400087203571
9,work_matrix_32,0.03793450605090523
9,work_matrix_45,-0.0367629708863566
9,work_matrix_34,0.03464684188642924
9,work_matrix_7,0.034511935377573494
9,work_matrix_36,-0.030878114484525883
9,work_matrix_2,-0.027982828364664154
9,work_matrix_39,-0.025275451279365445
10,State,0.6394715719963222
10,City,-0.22659903660193262
10,work_matrix_8,-0.10062158503091166
10,work_matrix_20,0.079555533524101
10,work_matrix_32,0.06743792326955356
10,work_matrix_24,-0.05494250570174877
10,work_matrix_15,-0.05264775298499428
10,job_matrix_49,-0.05247033227104505
10,work_matrix_5,0.052274176137680956
10,work_matrix_10,0.05005157250905576
10,work_matrix_17,-0.04712340467707573
10,work_matrix_31,0.04698333352496927
10,work_matrix_23,0.04406455579258695
10,job_matrix_35,-0.04256236675461481
10,work_matrix_21,-0.04012637546160484
10,job_matrix_21,0.038919401451365576
10,work_matrix_1,0.03849494504035621
10,job_matrix_18,-0.03712790788062279
10,work_matrix_18,-0.03535924454336024
10,work_matrix_39,-0.034246381857008866
11,State,-0.6353336158383244
11,City,-0.18311988593587655
11,work_matrix_48,0.07896226769215207
11,work_matrix_35,-0.06663287206926106
11,work_matrix_25,0.06186535964772381
11,work_matrix_8,0.05721621842395388
11,work_matrix_11,0.05118515530636338
11,work_matrix_16,-0.05084047993052945
11,work_matrix_33,0.0474250607495568
11,job_matrix_35,0.044858808989658085
11,work_matrix_44,0.04485256127112222
11,work_matrix_32,-0.044120430305793844
11,work_matrix_10,-0.04186198892496852
11,job_matrix_84,0.03924333252172157
