sample_index,feature_names,feature_importance_scores
0,ReqTopic,-0.07649950013903378
0,DescTopic,0.041602402945795605
0,TitTopic,0.01053370167180374
0,DegreeType,0.008047634592407302
0,WorkHistoryLevel,0.004491020517394228
0,ManagedOthers,-0.004164118971392358
0,SeniorLevel,0.0028154889431679536
0,CurrentlyEmployed,0.002545564677702331
0,WorkHistoryTopic,-0.001260299020066064
1,DescTopic,0.05842374291364305
1,ReqTopic,-0.020697426348014716
1,TitTopic,0.007200434717754472
1,DegreeType,0.00635378015164218
1,WorkHistoryLevel,0.005207704860131692
1,CurrentlyEmployed,-0.002379161951427661
1,ManagedOthers,-0.0021605757550060816
1,WorkHistoryTopic,0.00128966652175088
1,SeniorLevel,0.0009395293367002792
2,ReqTopic,0.08435527491015897
2,DescTopic,0.03718266086710526
2,TitTopic,0.010475670072899611
2,SeniorLevel,0.004188460273956584
2,WorkHistoryTopic,0.004025322415015082
2,ManagedOthers,0.0027493528019495376
2,DegreeType,0.0010642934379417666
2,CurrentlyEmployed,-0.0005261500089618304
2,WorkHistoryLevel,-0.0004603050695120421
3,ReqTopic,0.08617577501643084
3,DescTopic,-0.038717076663928304
3,TitTopic,0.010505357247861587
3,DegreeType,0.005559092769224917
3,CurrentlyEmployed,-0.002642234979247565
3,SeniorLevel,0.0020985864923165143
3,WorkHistoryTopic,0.0019533435223936715
3,ManagedOthers,0.001731918708044249
3,WorkHistoryLevel,0.0010126405258159253
4,ReqTopic,0.08696250255749763
4,DescTopic,0.057250348156033
4,TitTopic,0.012253571103278894
4,DegreeType,-0.00830941766332418
4,SeniorLevel,0.0039210813121865725
4,WorkHistoryTopic,-0.0037338072733613067
4,CurrentlyEmployed,-0.0029940580356510836
4,WorkHistoryLevel,0.002761854764939287
4,ManagedOthers,0.00032884582011589303
5,ReqTopic,-0.07333871297972458
5,DescTopic,-0.05386973925276986
5,TitTopic,0.011261401716504044
5,ManagedOthers,-0.00535305999560142
5,WorkHistoryTopic,0.0037432608061423985
5,WorkHistoryLevel,-0.0035891207975217564
5,DegreeType,-0.003387642934472554
5,CurrentlyEmployed,0.0018289390652962212
5,SeniorLevel,0.000681096027910716
6,ReqTopic,-0.07297716708537805
6,DescTopic,-0.04384940122940387
6,DegreeType,-0.010017398178670004
6,SeniorLevel,0.00672793251740491
6,WorkHistoryTopic,-0.0030160172283236163
6,ManagedOthers,0.0019416341652587258
6,WorkHistoryLevel,0.0019354562594514832
6,TitTopic,0.001383438288122249
6,CurrentlyEmployed,0.00030807048201474964
7,ReqTopic,0.08711766637344777
7,DescTopic,-0.05044440431061517
7,DegreeType,-0.006138944319822438
7,ManagedOthers,0.005733845900529019
7,TitTopic,0.005479158450711779
7,WorkHistoryTopic,-0.004140925971250759
7,SeniorLevel,0.001617168232614373
7,CurrentlyEmployed,0.0004910644300485878
7,WorkHistoryLevel,-0.0003247607736880114
8,ReqTopic,-0.07816525481942549
8,DescTopic,0.05813452810613654
8,DegreeType,-0.005785729085480745
8,WorkHistoryTopic,0.005045266305026357
8,CurrentlyEmployed,-0.0029869351305865607
8,ManagedOthers,-0.0014464770039537703
8,SeniorLevel,0.0010450685748457313
8,WorkHistoryLevel,0.0005768144328237514
8,TitTopic,0.00034080655843716134
9,DescTopic,0.05722357832142323
9,ReqTopic,-0.028478775843900784
9,SeniorLevel,0.006599694843349645
9,TitTopic,0.005863012646845783
9,ManagedOthers,-0.004360694716641235
9,DegreeType,-0.004233893071061848
9,WorkHistoryLevel,-0.002188233017523184
9,WorkHistoryTopic,0.0016199518388282476
9,CurrentlyEmployed,0.00015353222522255795
10,ReqTopic,0.0880697119938237
10,DescTopic,-0.05215046299434355
10,TitTopic,0.024776270951443607
10,ManagedOthers,-0.00296443337093063
10,DegreeType,0.002480707993786713
10,WorkHistoryTopic,0.0023522191753371025
10,SeniorLevel,-0.0008093865189623047
10,CurrentlyEmployed,-0.0003333193069187373
10,WorkHistoryLevel,-0.00022162203118546668
11,ReqTopic,0.08703791768327349
11,DescTopic,0.05850748183231001
11,TitTopic,0.012998813995962461
11,CurrentlyEmployed,0.004381415915336493
11,DegreeType,0.0029153441890530933
11,WorkHistoryLevel,-0.001934078970979462
11,WorkHistoryTopic,0.0015842319288005243
11,ManagedOthers,-9.465515450486972e-05
11,SeniorLevel,1.4540110284447337e-05
12,ReqTopic,0.08609969998628765
12,DescTopic,0.05183556434159367
12,TitTopic,0.019816573175216224
12,ManagedOthers,-0.0072630791919742685
12,DegreeType,-0.007187524433893147
12,WorkHistoryLevel,0.004842492784585303
12,WorkHistoryTopic,-0.003715179106435833
12,CurrentlyEmployed,0.0021500984657643277
12,SeniorLevel,0.002149003705115553
13,ReqTopic,-0.0754114633601997
13,DescTopic,-0.0409963210185365
13,TitTopic,0.011223415707391353
13,DegreeType,-0.003319355296197597
13,SeniorLevel,-0.002215165751950601
13,CurrentlyEmployed,0.0016722966631728365
13,WorkHistoryLevel,0.0011583368300561892
13,WorkHistoryTopic,0.0005846867817588683
13,ManagedOthers,7.852804722891391e-05
14,ReqTopic,0.08422180046555938
14,DescTopic,0.05413707050580039
