model,hit_5,hit_10,hit_20,benchmark
logreg,0.8754036598493004,0.8807857911733046,0.8958557588805167,ranking_data_random
dt,0.88751345532831,0.88751345532831,0.8891280947255114,ranking_data_random
xgbt,1.0,1.0,1.0,ranking_data_random
nb,0.8778256189451022,0.88751345532831,0.9028525296017222,ranking_data_random
ada,0.8743272335844995,0.8805166846071044,0.8961248654467169,ranking_data_random
lda,0.8748654467168999,0.8807857911733046,0.8953175457481163,ranking_data_random
qda,0.8748654467168999,0.8807857911733046,0.8953175457481163,ranking_data_random
logreg,0.019644779332615717,0.019644779332615717,0.02045209903121636,ranking_knn_tidif
dt,0.019644779332615717,0.019644779332615717,0.019644779332615717,ranking_knn_tidif
xgbt,0.021528525296017224,0.021528525296017224,0.021528525296017224,ranking_knn_tidif
nb,0.019644779332615717,0.019644779332615717,0.020182992465016147,ranking_knn_tidif
ada,0.020182992465016147,0.020182992465016147,0.020182992465016147,ranking_knn_tidif
lda,0.019644779332615717,0.01991388589881593,0.020182992465016147,ranking_knn_tidif
qda,0.019644779332615717,0.019644779332615717,0.020721205597416577,ranking_knn_tidif
logreg,0.8754036598493004,0.8807857911733046,0.8958557588805167,actual_test_interaction
dt,0.88751345532831,0.88751345532831,0.8891280947255114,actual_test_interaction
xgbt,1.0,1.0,1.0,actual_test_interaction
nb,0.8778256189451022,0.88751345532831,0.9028525296017222,actual_test_interaction
ada,0.8743272335844995,0.8805166846071044,0.8961248654467169,actual_test_interaction
lda,0.8748654467168999,0.8807857911733046,0.8953175457481163,actual_test_interaction
qda,0.8772874058127018,0.8864370290635092,0.9055435952637244,actual_test_interaction
logreg,0.8754036598493004,0.8807857911733046,0.8958557588805167,all_interaction_data
dt,0.88751345532831,0.88751345532831,0.8891280947255114,all_interaction_data
xgbt,1.0,1.0,1.0,all_interaction_data
nb,0.8778256189451022,0.88751345532831,0.9028525296017222,all_interaction_data
ada,0.8743272335844995,0.8805166846071044,0.8961248654467169,all_interaction_data
lda,0.8748654467168999,0.8807857911733046,0.8953175457481163,all_interaction_data
qda,0.8772874058127018,0.8864370290635092,0.9055435952637244,all_interaction_data
